id,icao_code,iata_code,name,type,city_id,country_id,continent_id,website_url,created_at,updated_at,latitude_deg,longitude_deg,elevation_ft,wikipedia_link
368,KARV,ARV,Lakeland-Noble F. Lee Memorial field,small_airport,48038,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,45.92789841,-89.73090363,1629,https://en.wikipedia.org/wiki/Lakeland_Airport
369,LRAR,ARW,Arad International Airport,medium_airport,2369,144,3,,2024-06-27 0:00:00,2024-06-27 0:00:00,46.17660141,21.26199913,352,https://en.wikipedia.org/wiki/Arad_International_Airport
370,SBAC,ARX,Aracati Dragão do Mar Regional Airport,medium_airport,2357,24,5,https://www.ceara.gov.br/2021/06/25/aeroporto-de-aracati-retoma-voos-comerciais-em-julho/,2024-06-27 0:00:00,2024-06-27 0:00:00,-4.568896,-37.805135,128,https://en.wikipedia.org/wiki/Aracati_Airport
371,YARA,ARY,Ararat Airport,medium_airport,2429,9,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-37.309978,142.988688,1008,https://en.wikipedia.org/wiki/Ararat_Airport
372,FNZE,ARZ,N'zeto Airport,small_airport,48039,5,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,-7.25944,12.8631,69,https://en.wikipedia.org/wiki/N%27zeto_Airport
373,HHSB,ASA,Assab International Airport,medium_airport,48040,54,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,13.07180023,42.64500046,46,https://en.wikipedia.org/wiki/Asseb_International_Airport
374,UTAA,ASB,Ashgabat International Airport,large_airport,2821,182,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,37.986801,58.361,692,https://en.wikipedia.org/wiki/Ashgabat_International_Airport
375,SLAS,ASC,Ascención De Guarayos Airport,small_airport,48041,21,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-15.9303,-63.1567,807,https://en.wikipedia.org/wiki/Ascensi%C3%B3n_de_Guarayos_Airport
376,MYAF,ASD,Andros Town Airport,medium_airport,51541,12,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,24.69790077,-77.79560089,5,https://en.wikipedia.org/wiki/Andros_Town_International_Airport
377,KASE,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,48042,188,4,http://aspenairport.com/,2024-06-27 0:00:00,2024-06-27 0:00:00,39.223202,-106.869003,7820,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport
378,URWA,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,medium_airport,2903,145,1,http://xn--80aaaa9dcahhdbllc1cxhc.xn--p1ai/,2024-06-27 0:00:00,2024-06-27 0:00:00,46.282843,48.010511,-65,https://en.wikipedia.org/wiki/Narimanovo_Airport
380,KASH,ASH,Nashua Airport / Boire Field,small_airport,28890,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,42.7817,-71.514801,199,https://en.wikipedia.org/wiki/Nashua_Airport
381,FHAW,ASI,RAF Ascension Island,medium_airport,48043,203,2,http://www.raf.mod.uk/organisation/stations.cfm?selectStation=9DEB5257-FDEF-6850-8B1CFF5050616CC1#cgi.script_name#,2024-06-27 0:00:00,2024-06-27 0:00:00,-7.9696,-14.3937,278,https://en.wikipedia.org/wiki/RAF_Ascension_Island
382,RJKA,ASJ,Amami Airport,medium_airport,1411,85,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,28.43059921,129.7129974,27,https://en.wikipedia.org/wiki/Amami_Airport
383,DIYO,ASK,Yamoussoukro Airport,medium_airport,46863,83,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,6.903170109,-5.365580082,699,https://en.wikipedia.org/wiki/Yamoussoukro_Airport
384,KASL,ASL,Harrison County Airport,small_airport,25945,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,32.52050018,-94.30780029,357,https://en.wikipedia.org/wiki/Harrison_County_Airport_(Texas)
385,HHAS,ASM,Asmara International Airport,medium_airport,2863,54,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,15.29189968,38.91070175,7661,https://en.wikipedia.org/wiki/Asmara_International_Airport
386,KASN,ASN,Talladega Municipal Airport,small_airport,41687,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,33.56990051,-86.05090332,529,https://en.wikipedia.org/wiki/Talladega_Municipal_Airport
387,HASO,ASO,Asosa Airport,medium_airport,2868,57,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,10.01850033,34.5862999,5100,https://en.wikipedia.org/wiki/Asosa_Airport
388,YBAS,ASP,Alice Springs Airport,medium_airport,1176,9,6,http://www.alicespringsairport.com.au/,2024-06-27 0:00:00,2024-06-27 0:00:00,-23.806588,133.903427,1789,https://en.wikipedia.org/wiki/Alice_Springs_Airport
389,K9U3,ASQ,Austin Airport,small_airport,3095,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,39.467708,-117.197576,5730,https://en.wikipedia.org/wiki/Austin_Airport_(Nevada)
390,LTAU,ASR,Kayseri Erkilet Airport,medium_airport,20485,181,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,38.770401,35.49539948,3463,https://en.wikipedia.org/wiki/Erkilet_Airport
391,FACC,ASS,Arathusa Safari Lodge Airport,small_airport,48044,163,2,http://arathusa.co.za/getting-to-arathusa-by-scheduled-flight/,2024-06-27 0:00:00,2024-06-27 0:00:00,-24.744165,31.522499,1289,https://ceb.wikipedia.org/wiki/Arathusa_Safari_Lodge_Airport
392,KAST,AST,Astoria Regional Airport,medium_airport,2901,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,46.15800095,-123.8789978,15,https://en.wikipedia.org/wiki/Astoria_Regional_Airport
393,SGAS,ASU,Aeropuerto Internacional Silvio Pettirossi,large_airport,48045,138,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-25.240156,-57.519227,292,https://en.wikipedia.org/wiki/Silvio_Pettirossi_International_Airport
394,HKAM,ASV,Amboseli Airport,medium_airport,48046,88,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,-2.645050049,37.25310135,3755,https://en.wikipedia.org/wiki/Amboseli_Airport
395,HESN,ASW,Aswan International Airport,medium_airport,2912,51,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,23.968137,32.824445,650,https://en.wikipedia.org/wiki/Aswan_International_Airport
396,KASX,ASX,John F Kennedy Memorial Airport,small_airport,2830,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,46.54850006,-90.91899872,827,https://en.wikipedia.org/wiki/John_F._Kennedy_Memorial_Airport
397,KASY,ASY,Ashley Municipal Airport,small_airport,48047,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,46.02389908,-99.3526001,2032,https://en.wikipedia.org/wiki/Ashley_Municipal_Airport
399,SPHZ,ATA,Comandante FAP German Arias Graziani Airport,medium_airport,2137,139,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-9.347439766,-77.5983963,9097,https://en.wikipedia.org/wiki/Comandante_FAP_Germ%C3%A1n_Arias_Graziani_Airport
400,HSAT,ATB,Atbara Airport,small_airport,2939,167,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,17.71034431,34.05701828,1181,https://en.wikipedia.org/wiki/Atbara_Airport
401,MYCA,ATC,Arthur's Town Airport,medium_airport,48048,12,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,24.6294,-75.673797,18,https://en.wikipedia.org/wiki/Arthur's_Town_Airport
402,AGAT,ATD,Uru Harbour Airport,small_airport,48049,161,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-8.87333,161.011002,,https://en.wikipedia.org/wiki/Uru_Harbour_Airport
403,K80F,ATE,Antlers Municipal Airport,small_airport,48050,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,34.19260025,-95.64990234,575,https://en.wikipedia.org/wiki/Antlers_Municipal_Airport
404,SEAM,ATF,Chachoán Regional Airport,medium_airport,1494,50,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-1.21207,-78.5746,8502,https://en.wikipedia.org/wiki/Chachoan_Airport
405,OPMS,ATG,Minhas Air Base,medium_airport,48051,133,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,33.86909866,72.40090179,1023,https://en.wikipedia.org/wiki/Minhas_Airbase
406,LGAV,ATH,Athens Eleftherios Venizelos International Airport,large_airport,48052,66,3,http://www.aia.gr,2024-06-27 0:00:00,2024-06-27 0:00:00,37.936401,23.9445,308,https://en.wikipedia.org/wiki/Athens_International_Airport
407,SUAG,ATI,Artigas International Airport,small_airport,2687,189,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-30.4007,-56.5079,410,https://en.wikipedia.org/wiki/Artigas_Airport
408,FMME,ATJ,Antsirabe Airport,small_airport,2228,104,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,-19.839221,47.063713,4997,https://fr.wikipedia.org/wiki/A%C3%A9rodrome_d%27Antsirabe
409,PATQ,ATK,Atqasuk Edward Burnell Sr Memorial Airport,medium_airport,48053,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,70.46704,-157.436013,96,https://en.wikipedia.org/wiki/Atqasuk_Edward_Burnell_Sr._Memorial_Airport
410,KATL,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,2977,188,4,http://www.atlanta-airport.com/,2024-06-27 0:00:00,2024-06-27 0:00:00,33.6367,-84.428101,1026,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport
411,SBHT,ATM,Altamira Interstate Airport,medium_airport,1300,24,5,https://www4.infraero.gov.br/aeroportos/aeroporto-de-altamira-para/,2024-06-27 0:00:00,2024-06-27 0:00:00,-3.253144,-52.253938,368,https://en.wikipedia.org/wiki/Altamira_Airport
412,ATN,ATN,Namatanai Airport,small_airport,48054,137,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-3.6695,152.438,150,https://en.wikipedia.org/wiki/Namatanai_Airport
413,KUNI,ATO,Ohio University Airport,small_airport,999,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,39.211839,-82.22949,766,https://en.wikipedia.org/wiki/Gordon_K._Bush_Airport
414,ATP,ATP,Aitape Airport,small_airport,48055,137,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-3.143611111,142.3468056,10,https://en.wikipedia.org/wiki/Aitape_Airport
