id,name,alt_name,country_id,is_active,created_at,updated_at,lat,long
1217,Alleppey,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.49,76.33
1221,Allinagaram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.0119,77.4786
1228,Allur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.68,80.06
1229,Alluru,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.1336,78.4975
1243,Almel,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.92,76.24
1260,Almora,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,29.5971,79.6591
1265,Alnavar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.4273,74.7411
1291,Alta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.25,74.57
1369,Alukkuli,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.4458,77.3574
1372,Alur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.3942,77.2264
1385,Alwa Tirunagari,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.61,77.94
1386,Alwal,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.5047,78.5038
1387,Alwar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,27.5498,76.6355
1388,Alwarkurichchi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.7838,77.3952
1389,Alwaye,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.1167,76.35
1400,Amaha,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.1284,86.7998
1404,Amala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.859,76.8112
1405,Amalapuram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.5787,82.0061
1408,Amalner,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,21.05,75.05
1413,Amangal,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.8499,78.5327
1414,Amanganj,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.4266,80.0358
1422,Amarapuuram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.1333,76.9833
1423,Amaravati,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.5131,80.5165
1424,Amaravati,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.573,80.358
1425,Amarchinta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.374,77.7729
1428,Amari,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.7179,86.0839
1430,Amarpatan,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.3137,80.977
1431,Amarpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.0397,86.9025
1432,Amarpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.53,91.64
1433,Amarpura,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.3667,73.9833
1434,Amarwa Khurd,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.8333,84.25
1435,Amarwara,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.2978,79.1694
1448,Amauna,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.0531,84.5169
1451,Amayan,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.3205,78.7581
1452,Amba Icharua,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.614,86.4258
